epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1529.65,0.81564,1.55895,1.38118,0.67742,0.6167,0.67052,0.44172,1.15151,1.81343,1.73232,0.000131593,0.000131593,0.000131593
62,1554.42,0.80002,1.46909,1.40345,0.66037,0.61137,0.65955,0.39986,1.16243,1.90744,1.73402,0.000129614,0.000129614,0.000129614
63,1579.82,0.80114,1.47179,1.40995,0.71268,0.84493,0.76134,0.44675,1.13537,1.72397,1.69943,0.000127623,0.000127623,0.000127623
64,1604.3,0.81825,1.50123,1.43532,0.70907,0.83443,0.76387,0.42226,1.16627,1.72806,1.77702,0.00012562,0.00012562,0.00012562
65,1629.32,0.78557,1.50824,1.40949,0.6862,0.6207,0.66161,0.40031,1.20002,1.70396,1.7933,0.000123607,0.000123607,0.000123607
66,1653.65,0.79099,1.48363,1.38707,0.65401,0.62588,0.67786,0.41493,1.17372,1.81568,1.79704,0.000121583,0.000121583,0.000121583
67,1677.68,0.77358,1.42264,1.39146,0.67173,0.608,0.66606,0.40929,1.16325,1.82657,1.78125,0.000119551,0.000119551,0.000119551
68,1702.74,0.78111,1.41874,1.38276,0.67124,0.61932,0.65731,0.41595,1.16212,1.77002,1.76959,0.00011751,0.00011751,0.00011751
69,1726.88,0.79247,1.44568,1.39544,0.66108,0.59663,0.63309,0.40512,1.16771,1.73711,1.78315,0.000115462,0.000115462,0.000115462
70,1752.8,0.77407,1.40887,1.38424,0.65833,0.66098,0.66512,0.45293,1.1349,1.75826,1.72279,0.000113408,0.000113408,0.000113408
71,1778.35,0.80036,1.44204,1.39363,0.67827,0.65139,0.67462,0.42853,1.15708,1.62962,1.74999,0.000111348,0.000111348,0.000111348
72,1805.3,0.77596,1.376,1.38278,0.6886,0.62784,0.66256,0.4439,1.14288,1.6609,1.74895,0.000109284,0.000109284,0.000109284
73,1828.74,0.75011,1.34943,1.3716,0.59148,0.64797,0.65482,0.43338,1.13848,1.72319,1.72053,0.000107216,0.000107216,0.000107216
74,1853.44,0.7324,1.32841,1.34237,0.60367,0.66081,0.66323,0.4183,1.1155,1.69649,1.70345,0.000105146,0.000105146,0.000105146
75,1879.04,0.7422,1.3573,1.36637,0.64767,0.63181,0.67338,0.40597,1.16077,1.74713,1.7561,0.000103073,0.000103073,0.000103073
76,1902.68,0.76603,1.39584,1.35892,0.64656,0.64244,0.70314,0.43635,1.11974,1.77925,1.73362,0.000101,0.000101,0.000101
77,1927.41,0.75702,1.36731,1.35422,0.64302,0.63982,0.67826,0.42408,1.10321,1.76121,1.70782,9.89267e-05,9.89267e-05,9.89267e-05
